Serie;URL Imagen;Plataforma;Tipo;Descripción;Rating Promedio
Breaking Bad;https://image.tmdb.org/t/p/w500/ztkUQFLlC19CCMYHW9o1zWhJRNq.jpg;Netflix;Drama;Un profesor de química con cáncer terminal se asocia con un exalumno suyo para fabricar y vender metanfetamina a fin de que su familia no pase apuros económicos.;8.9
Game of Thrones;https://image.tmdb.org/t/p/w500/z9gCSwIObDOD2BEtmUwfasar3xs.jpg;HBO Max;Drama;En una tierra donde los veranos duran décadas y los inviernos pueden durar toda una vida, los problemas acechan. Desde las maquinaciones del sur a las salvajes tierras del este, pasando por el helado norte y el milenario muro que protege el reino de las fuerzas tenebrosas, dos poderosas familias mantienen un enfrentamiento letal por gobernar los Siete Reinos de Poniente. Mientras la traición, la lujuria y las fuerzas sobrenaturales sacuden los pilares de los reinos, la sangrienta batalla por el trono de Hierro tendrá consecuencias imprevistas y trascendentales. El invierno se acerca. Que empiece 'Juego de tronos'.;8.5
Stranger Things;https://image.tmdb.org/t/p/w500/uOOtwVbSr4QDjAGIifLDwpb2Pdl.jpg;Netflix;Ciencia ficción;A raíz de la desaparición de un niño, un pueblo desvela un misterio relacionado con experimentos secretos, fuerzas sobrenaturales aterradoras y una niña muy extraña.;8.6
The Crown;https://image.tmdb.org/t/p/w500/1ZMVKJoWK5KfxaQA8BwpfOEYKKy.jpg;Netflix;Drama;Drama sobre las rivalidades políticas y los romances acaecidos durante el reinado de Isabel II, así como de los eventos que moldearían la segunda mitad del siglo XX.;8.2
The Mandalorian;https://image.tmdb.org/t/p/w500/iLg3DzrwCDsHNovNaWx5JnQAsiV.jpg;Disney+;Ciencia ficción;En el anárquico período tras el hundimiento del Imperio Galáctico, un cazarrecompensas con armadura conocido solo como El Mandaloriano emprende una misión bien remunerada aunque enigmática.;8.4
The Witcher;https://image.tmdb.org/t/p/w500/gvn0m0LCIslrURjSo7UG5Rx6mV2.jpg;Netflix;Fantasía;Geralt, un brujo que se dedica a cazar monstruos genéticamente modificados, busca su lugar en un mundo donde a menudo los humanos demuestran ser peores que las bestias.;8
Westworld;https://image.tmdb.org/t/p/w500/vRAFOKQ2JxOagiJZaGQxmqTY1yl.jpg;HBO Max;Ciencia ficción;Westworld está ambientada en un parque de atracciones futurista dirigido por el Doctor Robert Ford. Las instalaciones cuentan con androides cuya apariencia física es humana, y gracias a ellos los visitantes pueden introducirse en cualquier tipo de fantasía, por muy oscura que sea...;8
The Handmaid's Tale;https://image.tmdb.org/t/p/w500/kAHyUzUkFv8xgJARoWEdiz9LgeY.jpg;HBO Max;Drama;Para enfrentarse a una tasa de natalidad en declive, un régimen fundamentalista ha empezado a tratar a las mujeres como propiedades. Como una de las pocas mujeres fértiles que quedan, Defred es una criada, una más de la casta de mujeres forzadas a una servidumbre sexual para intentar repoblar el mundo.;8.2
Black Mirror;https://image.tmdb.org/t/p/w500/6nDRo824oyBwg1prOZHc8UtonVB.jpg;Netflix;Ciencia ficción;Las historias más retorcidas pueblan esta alucinante serie antológica que muestra los peores rasgos de la humanidad, sus mayores innovaciones y mucho más.;8.3
Ozark;https://image.tmdb.org/t/p/w500/8Q87HCPhj98Afc0XAHOuaLgTTpO.jpg;Netflix;Drama;Un asesor financiero arrastra a su familia de Chicago hasta Misuri con la misión de lavar 500 millones de dólares en cinco años para apaciguar a un capo de la droga.;8.2
Narcos;https://image.tmdb.org/t/p/w500/rTmal9fDbwh5F0waol2hq35U4ah.jpg;Netflix;Drama;La verdadera historia de los poderosos y violentos cárteles colombianos sirve de hilo conductor en esta serie dramática de mafiosos de gran realismo.;8.1
